Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
X,Completely Locked,04/10/2020 02:23:07 PM,Exercise Equipment,X159,Playground 174,X159,Playground 174,COVID-19 Closure,POINT (-73.87776458244035 40.83434856210142),"11,610",58,5,31,26
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B057-ZN03,Marine Park,B057,Marine Park Zone 3,Active,POINT (-73.93544957071985 40.60408041176194),"13,512",5,2,8,38
Q,Temporary Fencing,04/11/2020 05:56:45 PM,Exercise Equipment,Q085,Gorman Playground,Q085,Gorman Playground,COVID-19 Closure,POINT (-73.88423696233977 40.76238428065752),"14,781",65,3,4,73
X,Completely Locked,04/10/2020 10:26:39 AM,Exercise Equipment,X353,Yolanda García Park,X353,Yolanda Garcia Park,COVID-19 Closure,POINT (-73.91380830169413 40.82310392036892),"10,929",34,5,43,25
M,Completely Locked,04/10/2020 11:52:23 AM,Exercise Equipment,M263,Bellevue South Park,M263,Bellevue South Park,COVID-19 Closure,POINT (-73.97805754866744 40.740032558826094),"12,078",71,4,50,7
M,Completely Locked,04/10/2020 11:57:46 AM,Exercise Equipment,M088,Tompkins Square Park,M088,Tompkins Square Park,COVID-19 Closure,POINT (-73.98171294258619 40.726452065314255),"11,729",70,4,50,5
Q,Completely Locked,04/11/2020 01:21:47 PM,Exercise Equipment,Q333,Ravenswood Playground,Q333,Ravenswood Playground,COVID-19 Closure,POINT (-73.93534261177533 40.76260794158629),"16,863",39,3,33,72
B,Completely Locked,04/10/2020 04:06:07 PM,Exercise Equipment,B129-ZN01,Kaiser Park,B129,Kaiser Park Zone 1,COVID-19 Closure,POINT (-73.9946104382313 40.57856097830441),"18,184",21,2,45,35
Q,Temporary Fencing,04/11/2020 06:56:48 PM,Exercise Equipment,Q129,"Phil ""Scooter"" Rizzuto Park",Q129,"Phil ""Scooter"" Rizzuto Park",COVID-19 Closure,POINT (-73.82158665651203 40.69479295148475),"24,015",46,3,46,60
M,Completely Locked,04/10/2020 11:57:05 AM,Exercise Equipment,M171,Cherry Clinton Playground,M171,Cherry Clinton Playground,COVID-19 Closure,POINT (-73.98628029521305 40.71131293656163),"11,723",70,4,32,4
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN05B,Bronx Park,X002,Bronx River Parkway East (North Half),Active,POINT (-73.86371190616926 40.89092907333461),"11,605",29,5,2,30
X,Completely Locked,04/13/2020 02:08:11 PM,Exercise Equipment,X182,Millbrook Playground,X182,Millbrook Playground,COVID-19 Closure,POINT (-73.91664783759326 40.80435409216186),"10,932",49,5,35,23
