place_id,location,accesslvl,rules
297,Courtlandt Av bet. E 154 St and E 155 St,4,Adults Allowed
298,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,0,Adults Allowed
299,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",4,Adults Allowed
300,110 St & Cathedral Pkwy,3,Unknown
301,"Horace Harding Exwy. Sr. Rd. S., 62 Ave. bet. 102 St. and Yellowstone Blvd.",0,Unknown
302,"Watson Ave., Blackrock Ave. bet. Virginia Ave., Pugsley Ave.",0,Adults not allowed in some locations
303,Bergen Ave And Avenue W,0,Unknown
304,14 St. bet. 31 Ave. and 31 Dr.,4,Adults Allowed
305,"Crotona E-Claremont, Charlotte",4,Adults Allowed
306,Tompkins Ave. between Halsey St. and Macon St.,4,Adults Allowed
307,Lexington Ave. bet. E. 122 St. and 123 St.,4,Adults Allowed
308,W/s Of Meadow Lake & G C Pkwy,2,Unknown
309,Palma Dr. bet. Targee St. and Oder Ave.,4,Adults Allowed
310,Grand Concourse bet. E. 192 St. and E. K,4,Adults not allowed in some locations
311,Arverne Blvd. bet. Beach 57 St. and Beach 56 St.,0,Adults Allowed
312,Billingsley Ter bet. Phelan Pl and Sedwick Av,2,Adults Allowed
313,"Lenox Ave., W. 139 St. To W. 140 St.",4,Adults Allowed
314,"Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl.",4,Adults Allowed
315,Frost St. bet. Debevoise Ave. and Kingsland Ave.,2,Adults not allowed in some locations
316,Onderdonk Ave. bet. Starr St. and Willoughby Ave.,4,Adults Allowed
317,"3 Ave. bet. E, 145 St. and E. 144 St.",4,Adults Allowed
318,Yellowstone Blvd. bet. 68 Ave. and 68 Rd.,4,Adults Allowed
319,W 148 St & Riverside Dr,4,Unknown
320,"E. 117 St. To E. 118 St., 1 Ave. To 2 Ave.",4,Adults Allowed
321,"Freedom Dr, Pk Lane S, 102 St",4,Unknown
322,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",4,Adults Allowed
323,E. 180 St. bet. Daly Ave. and Vyse Ave.,0,Adults Allowed
324,"Hempstead Ave., 225 St. and 224 St. Cross Island Parkway Exit at 225 St.",0,Adults Allowed
325,Hoyt Ave. North bet. 29 St. and 31 St.,4,Adults Allowed
326,E. 94 St. bet. Rutland Rd. and E. New York Ave.,0,Adults not allowed in some locations
327,"Henry St., Market St., E. Broadway",2,Adults not allowed in some locations
328,"Front St., John St., and South St.",0,Adults Allowed
329,W 180 St & Amsterdam Ave,4,Adults Allowed
330,Rockaway Boardwalk bet. B. 32 St and B. 28 St.,3,Adults not allowed in some locations
331,Ave. K between E. 100 St. and E. 101 St.,0,Adults Allowed
332,253 St. bet. 149 Ave. and 149 Rd.,4,Adults Allowed
333,bet. Hudson River and South End Ave. S/o Liberty St.,0,Unknown
334,"Carlton Ave., Fulton St., Green Ave.",4,Adults not allowed in some locations
335,"End Of Cornelia Ave, Opp Hockey Rink",3,Adults not allowed in some locations
336,"Crotona E-Claremont, Prospect",4,Adults not allowed in some locations
