place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1624,St. Nicholas Park,Arlington Edinboro Playground,Handball,11,0,Asphalt
1625,St. Nicholas Park,St Nicholas,Handball,3,0,Asphalt
1626,Jackie Robinson Park,Plgd One Fifty Two CLII,Handball,4,0,Asphalt
1627,Baisley Pond Park,Baisley Pond Park,Handball,12,0,Asphalt
1628,Baisley Pond Park,Baisley Pond Park,Handball,15,0,Asphalt
1629,Soundview Park,Soundview Park,Handball,5,0,Asphalt
1630,Soundview Park,Soundview Park,Handball,2,0,Asphalt
1631,Riverside Park,Skate Park And Basketball Courts,Handball,7,0,Asphalt
1632,Coffey Park,Coffey Park Playground,Handball,4,0,Asphalt
1633,Coffey Park,Coffey Park Playground,Handball,2,0,Asphalt
1634,Dyker Beach Park,Dyker Plgd,Handball,1,0,Asphalt
1635,Dyker Beach Park,Dyker Plgd,Handball,15,0,Asphalt
1636,Dyker Beach Park,Dyker Plgd,Handball,14,0,Asphalt
1637,John J Carty Park,N/A,Handball,5,0,Asphalt
1638,John J Carty Park,N/A,Handball,1,0,Asphalt
1639,John J Carty Park,N/A,Handball,2,0,Asphalt
1640,John J Carty Park,N/A,Handball,4,0,Asphalt
1641,Seth Low Playground/ Bealin Square,N/A,Handball,2,0,Asphalt
1642,Tremont Park,Tremont Plgd (2),Handball,1,0,Asphalt
1643,Claremont Park,Claremont Park,Handball,6,0,Asphalt
1644,Claremont Park,Claremont Park,Handball,2,0,Asphalt
1645,Crotona Park,Crotona Zone 9,Handball,1,0,Asphalt
1646,Herbert Von King Park,Herbert Von King Park,Handball,2,0,Asphalt
1647,Herbert Von King Park,Herbert Von King Park,Handball,1,0,Asphalt
1648,Kolbert Playground,N/A,Handball,3,0,Asphalt
1649,Marine Park,Lenape Playground,Handball,9,0,Asphalt
1650,Marine Park,Lenape Playground,Handball,11,0,Asphalt
1651,Marine Park,Lenape Playground,Handball,14,0,Asphalt
1652,Marine Park,Dr John's Plgd,Handball,7,0,Asphalt
1653,Marine Park,Dr John's Plgd,Handball,2,0,Asphalt
1654,Marine Park,Dr John's Plgd,Handball,8,0,Asphalt
1655,Juniper Valley Park,Juniper North Playground Tennis,Handball,2,0,Asphalt
1656,Juniper Valley Park,Juniper North Playground Tennis,Handball,1,0,Asphalt
1657,Juniper Valley Park,Juniper North Playground Tennis,Handball,4,0,Asphalt
1658,Juniper Valley Park,Juniper North Playground Tennis,Handball,3,0,Asphalt
1659,World's Fair Playground,World's Fair Playground,Handball,7,0,Asphalt
1660,World's Fair Playground,World's Fair Playground,Handball,5,0,Asphalt
1661,Kissena Park,Four Winds Playground,Handball,2,1,Asphalt
1662,Kissena Park,Four Winds Playground,Handball,1,1,Asphalt
1663,Kissena Corridor Park,Rachel Carson Playground,Handball,2,1,Asphalt
1664,Kissena Corridor Park,Rachel Carson Playground,Handball,3,1,Asphalt
1665,Kissena Corridor Park,Rachel Carson Playground,Handball,1,1,Asphalt
1666,Flushing Meadows Corona Park,Albert H. Mauro Playground,Handball,12,1,Asphalt
